,open,close,high,low,total_turnover,volume
2011-01-04,3155.557,3189.682,3194.358,3143.604,129159620771.0,8541044000.0
2011-01-05,3170.181,3176.324,3193.779,3158.871,116943213907.0,7926881000.0
2011-01-06,3177.835,3159.664,3198.052,3152.572,91568447016.0,5968109200.0
2011-01-07,3156.362,3166.886,3209.9,3141.125,113388117171.0,8395926500.0
2011-01-10,3162.085,3108.901,3182.782,3102.428,87992881712.0,6549440600.0
2011-01-11,3096.249,3126.161,3131.292,3084.513,74832449402.0,5698591700.0
2011-01-12,3135.18,3142.427,3153.43,3099.413,71551421416.0,5849851800.0
2011-01-13,3153.985,3141.225,3157.036,3127.158,66925783701.0,5193698800.0
2011-01-14,3129.667,3091.908,3129.667,3083.511,71012100141.0,5335143900.0
2011-01-17,3067.433,2974.654,3078.88,2968.61,85225403175.0,6667104900.0
2011-01-18,2965.424,2977.752,2984.47,2947.6,54646835142.0,4295933800.0
2011-01-19,2978.457,3045.548,3045.548,2967.243,72672209875.0,5652458600.0
2011-01-20,3037.862,2945.428,3037.862,2944.498,76272796004.0,6094329000.0
2011-01-21,2935.233,2983.777,3030.265,2935.138,84968041085.0,7298433600.0
2011-01-24,2986.092,2954.629,2999.201,2943.92,75805236102.0,6547254500.0
2011-01-25,2949.647,2939.781,2960.587,2919.162,57572819537.0,4898268900.0
2011-01-26,2939.773,2978.604,2982.322,2939.356,51530534652.0,4324538500.0
2011-01-27,2953.589,3026.033,3037.159,2935.271,96707954281.0,8243747500.0
2011-01-28,3020.122,3037.105,3047.266,3011.375,78039159638.0,6289867600.0
2011-01-31,3035.418,3076.508,3076.547,3032.449,83070309373.0,6710591400.0
2011-02-01,3083.493,3077.107,3087.225,3062.83,65564865610.0,4970937700.0
2011-02-09,3055.398,3040.388,3087.551,3031.749,77948710805.0,6028459300.0
2011-02-10,3034.079,3104.13,3105.324,3024.349,86735346925.0,6646819000.0
2011-02-11,3100.274,3121.185,3133.499,3092.582,99001500830.0,7597555300.0
2011-02-14,3123.246,3218.801,3227.432,3123.246,155829380802.0,12130233100.0
2011-02-15,3223.222,3218.23,3259.639,3215.619,147747227925.0,10955443800.0
2011-02-16,3211.135,3248.527,3248.849,3195.467,125549596910.0,9133428300.0
2011-02-17,3255.626,3245.907,3265.257,3218.913,127559673833.0,8896469500.0
2011-02-18,3240.051,3212.43,3242.374,3203.12,104743371599.0,7537868400.0
2011-02-21,3192.146,3258.146,3258.28,3189.848,108055882413.0,7939977600.0
2011-02-22,3267.615,3163.85,3269.048,3161.833,147588609007.0,10786374100.0
2011-02-23,3152.441,3176.137,3182.185,3145.986,97251422739.0,7132485400.0
2011-02-24,3170.236,3190.645,3195.688,3157.969,94607036352.0,6632940200.0
2011-02-25,3190.872,3197.617,3213.792,3159.847,88275899352.0,6161927500.0
2011-02-28,3200.677,3239.907,3241.597,3178.831,108786642303.0,7640382200.0
2011-03-01,3241.714,3254.893,3273.511,3235.754,124040755772.0,8856695400.0
2011-03-02,3237.116,3243.591,3257.419,3202.833,113209096350.0,8070765200.0
2011-03-03,3248.156,3222.179,3271.64,3221.038,131217797700.0,10121999700.0
2011-03-04,3223.507,3270.602,3273.658,3217.477,107262792955.0,7993480900.0
2011-03-07,3287.405,3335.065,3337.466,3287.405,170406772534.0,11818719700.0
2011-03-08,3335.71,3337.913,3342.711,3311.722,126281638570.0,8486727600.0
2011-03-09,3344.1,3339.218,3355.487,3322.698,113189661854.0,7784969800.0
2011-03-10,3330.444,3280.659,3330.444,3279.33,117952630963.0,7821264200.0
2011-03-11,3263.081,3247.376,3290.7,3240.181,100306077088.0,6720833500.0
2011-03-14,3238.905,3262.92,3263.906,3230.114,94134688007.0,6368978300.0
2011-03-15,3250.595,3204.253,3250.595,3147.957,129603315155.0,9603397900.0
2011-03-16,3204.919,3248.195,3250.878,3202.931,111826095701.0,7885952000.0
2011-03-17,3216.288,3198.421,3240.381,3185.084,117295727563.0,8568711400.0
2011-03-18,3228.915,3216.994,3239.963,3205.144,86845200065.0,6134016100.0
2011-03-21,3220.677,3207.472,3236.279,3194.145,84105739105.0,5910503700.0
2011-03-22,3217.8,3223.198,3227.797,3175.93,80009792794.0,5724868400.0
2011-03-23,3222.325,3265.284,3267.004,3216.653,98413512517.0,7200475900.0
2011-03-24,3269.575,3251.345,3273.37,3250.023,88058905863.0,6130424400.0
2011-03-25,3256.179,3294.235,3304.264,3254.683,121720351681.0,8672785200.0
2011-03-28,3307.405,3290.571,3328.07,3286.856,139030083023.0,9768430000.0
2011-03-29,3288.564,3258.99,3309.199,3256.337,132908076725.0,10528016400.0
2011-03-30,3256.722,3256.787,3274.977,3233.109,103271930321.0,7833633700.0
2011-03-31,3257.164,3223.725,3264.956,3210.174,86565372662.0,6450388000.0
2011-04-01,3227.564,3272.508,3272.741,3220.911,86319614783.0,6286716100.0
2011-04-06,3269.19,3311.489,3315.299,3268.765,143030090888.0,10582367400.0
2011-04-07,3313.467,3324.006,3330.805,3302.818,112298074300.0,8444322800.0
2011-04-08,3321.54,3353.59,3353.889,3314.089,107027366579.0,7377299300.0
2011-04-11,3363.37,3333.427,3380.527,3331.174,141974385699.0,10442054500.0
2011-04-12,3324.754,3326.771,3350.156,3307.476,122863556078.0,10193850600.0
2011-04-13,3311.324,3372.031,3372.031,3296.507,108305234380.0,8703633800.0
2011-04-14,3374.324,3353.56,3378.703,3347.488,107491228060.0,8897224100.0
2011-04-15,3345.134,3358.944,3378.106,3323.563,98934572633.0,7851487400.0
2011-04-18,3346.149,3359.438,3372.9,3335.599,107178227750.0,8658262400.0
2011-04-19,3334.912,3295.812,3334.912,3290.736,104368983043.0,8510693300.0
2011-04-20,3300.418,3295.758,3311.725,3281.827,93667138370.0,7234331800.0
2011-04-21,3312.271,3317.367,3330.244,3301.936,96739132646.0,7324042400.0
2011-04-22,3317.083,3299.942,3325.459,3291.638,83528333290.0,6717145500.0
2011-04-25,3292.48,3249.574,3292.48,3247.691,98455879623.0,7442182900.0
2011-04-26,3242.529,3230.96,3257.8,3216.21,76696858373.0,5909641700.0
2011-04-27,3242.619,3209.503,3256.413,3189.04,75111247063.0,6244356700.0
2011-04-28,3224.413,3161.776,3237.192,3160.406,79155830155.0,6505023500.0
2011-04-29,3161.158,3192.723,3193.599,3147.137,63455814284.0,5368306500.0
2011-05-03,3192.845,3211.132,3212.055,3164.926,64348987555.0,5499891000.0
2011-05-04,3192.844,3129.028,3193.446,3120.961,83567655304.0,6671634000.0
2011-05-05,3115.003,3126.117,3136.897,3105.854,63009373497.0,5256774700.0
2011-05-06,3093.809,3121.396,3141.683,3083.908,69747372718.0,5535218600.0
2011-05-09,3126.26,3129.759,3149.937,3118.141,57287412506.0,4602740400.0
2011-05-10,3135.146,3153.221,3153.301,3121.746,54931224820.0,4093299500.0
2011-05-11,3153.648,3145.085,3164.65,3127.494,59507719522.0,4768853300.0
2011-05-12,3123.158,3101.603,3142.397,3101.136,61703080348.0,4879950100.0
2011-05-13,3105.303,3128.093,3128.442,3080.19,57757204870.0,4689595100.0
2011-05-16,3120.436,3100.463,3137.604,3098.776,54238723382.0,4519431900.0
2011-05-17,3097.071,3116.028,3136.231,3076.946,65417943732.0,5120373100.0
2011-05-18,3109.294,3139.379,3145.698,3106.552,49757174173.0,3964176800.0
2011-05-19,3148.353,3120.639,3154.935,3118.619,52249679659.0,4311078200.0
2011-05-20,3120.579,3121.596,3133.429,3113.271,48967028428.0,3846801200.0
2011-05-23,3115.312,3022.98,3115.312,3021.45,66976426510.0,5590247200.0
2011-05-24,3013.715,3026.223,3029.746,2999.885,52971692396.0,4160894400.0
2011-05-25,3020.323,2990.343,3030.988,2988.094,48604397867.0,3928970400.0
2011-05-26,3011.466,2978.381,3021.203,2977.596,48346482355.0,3700374700.0
2011-05-27,2980.721,2963.308,2996.605,2962.067,52019994149.0,4277090500.0
2011-05-30,2956.575,2954.506,2982.583,2942.361,42960260576.0,3467116000.0
2011-05-31,2958.607,3001.556,3001.727,2946.146,50553386204.0,3968939900.0
2011-06-01,2996.085,3004.173,3006.556,2985.711,49060076491.0,3841932700.0
2011-06-02,2970.634,2955.705,2984.491,2923.016,61748347004.0,5261786700.0
2011-06-03,2951.579,2986.349,2993.895,2951.201,49273758984.0,3907616400.0
2011-06-07,2977.681,3004.262,3006.569,2974.361,49859134919.0,3685233200.0
2011-06-08,3003.581,3008.652,3012.806,2965.923,51123188095.0,4290875800.0
2011-06-09,3000.404,2951.889,3004.06,2951.889,55381280377.0,4749663600.0
2011-06-10,2947.927,2961.932,2964.079,2925.868,50942992933.0,4220188200.0
2011-06-13,2940.391,2950.348,2957.523,2921.746,46991283431.0,3835166800.0
2011-06-14,2947.655,2993.559,3000.526,2943.531,66158911408.0,5598281500.0
2011-06-15,2984.962,2963.119,2999.15,2963.112,54467701030.0,4439085200.0
2011-06-16,2939.681,2917.578,2946.815,2915.401,47067185495.0,4113548200.0
2011-06-17,2916.405,2892.157,2934.061,2891.015,51647156163.0,4117653000.0
2011-06-20,2888.935,2874.896,2896.081,2862.408,45416696840.0,3799198200.0
2011-06-21,2883.354,2909.073,2909.572,2877.054,50160678865.0,4203892300.0
2011-06-22,2913.666,2908.582,2921.034,2894.178,43263825738.0,3731880200.0
2011-06-23,2899.013,2957.629,2966.54,2888.678,55276886318.0,4594111700.0
2011-06-24,2946.609,3027.47,3047.943,2944.051,104972923209.0,8545924000.0
2011-06-27,3028.496,3036.491,3056.023,3019.236,79044152725.0,6561577100.0
2011-06-28,3040.183,3041.734,3046.797,3013.996,70333384864.0,5576625400.0
2011-06-29,3039.047,3000.169,3043.815,2999.953,61717623012.0,5347684800.0
2011-06-30,3003.23,3044.089,3058.625,3003.23,73891668789.0,6250254900.0
2011-07-01,3052.12,3049.745,3071.206,3034.072,72614645374.0,5676665300.0
2011-07-04,3064.935,3121.98,3124.582,3064.935,102679821385.0,8046403100.0
2011-07-05,3122.899,3122.5,3128.529,3105.086,81999827927.0,6776333500.0
2011-07-06,3116.121,3113.712,3116.121,3084.834,76556996969.0,6155580700.0
2011-07-07,3123.29,3101.68,3140.102,3101.096,92120550136.0,7181036000.0
2011-07-08,3105.486,3109.183,3124.386,3093.374,65155542913.0,5128259300.0
2011-07-11,3097.874,3113.206,3120.998,3086.263,62237248759.0,4792066000.0
2011-07-12,3089.136,3056.905,3090.097,3054.8,71222640397.0,5710798400.0
2011-07-13,3060.42,3106.247,3108.497,3060.42,68294830332.0,5411436700.0
2011-07-14,3112.587,3115.745,3126.153,3092.473,79948505027.0,6031493500.0
2011-07-15,3105.497,3128.889,3130.775,3097.336,79424849005.0,6155032200.0
2011-07-18,3131.803,3122.6,3137.922,3113.667,78225031039.0,6069131100.0
2011-07-19,3108.472,3095.125,3109.916,3088.377,68506068928.0,5338870900.0
2011-07-20,3113.705,3091.567,3119.543,3071.85,56930993021.0,4411833100.0
2011-07-21,3092.271,3059.139,3099.278,3058.255,57942637401.0,4408469100.0
2011-07-22,3066.192,3067.985,3083.191,3059.598,49618948350.0,3725725500.0
2011-07-25,3050.897,2968.289,3050.897,2958.878,77513632253.0,6718099600.0
2011-07-26,2965.721,2977.766,2980.857,2957.61,49560684459.0,4351545700.0
2011-07-27,2961.576,3000.052,3002.691,2951.516,58746220328.0,4838561200.0
2011-07-28,2973.642,2981.002,2984.375,2956.71,60678598008.0,4813898400.0
