,tradeDate,secID,openPrice,closePrice
0,2017-01-03,600000.XSHG,16.21,16.3
202,2017-01-03,600016.XSHG,9.08,9.11
404,2017-01-03,600028.XSHG,5.42,5.51
606,2017-01-03,600029.XSHG,7.0,7.03
808,2017-01-03,600030.XSHG,16.08,16.19
1010,2017-01-03,600036.XSHG,17.6,17.96
1212,2017-01-03,600048.XSHG,9.12,9.19
1414,2017-01-03,600050.XSHG,7.25,7.44
1616,2017-01-03,600100.XSHG,13.86,13.95
1818,2017-01-03,600104.XSHG,23.57,23.89
2020,2017-01-03,600109.XSHG,13.05,13.32
2222,2017-01-03,600111.XSHG,12.35,12.43
2424,2017-01-03,600485.XSHG,0.0,14.6
2626,2017-01-03,600518.XSHG,17.72,17.96
2828,2017-01-03,600519.XSHG,334.28,334.56
3030,2017-01-03,600547.XSHG,36.4,36.76
3232,2017-01-03,600637.XSHG,23.29,23.25
3434,2017-01-03,600837.XSHG,15.77,15.75
3636,2017-01-03,600887.XSHG,17.6,17.69
3838,2017-01-03,600893.XSHG,32.75,33.52
4040,2017-01-03,600958.XSHG,15.56,15.61
4242,2017-01-03,600999.XSHG,16.31,16.5
4444,2017-01-03,601006.XSHG,7.06,7.21
4646,2017-01-03,601088.XSHG,16.19,16.19
4848,2017-01-03,601166.XSHG,16.14,16.24
5050,2017-01-03,601169.XSHG,9.77,9.88
5252,2017-01-03,601186.XSHG,11.94,12.0
5454,2017-01-03,601198.XSHG,20.05,20.22
5656,2017-01-03,601211.XSHG,18.54,18.72
5858,2017-01-03,601288.XSHG,3.1,3.12
6060,2017-01-03,601318.XSHG,35.34,35.68
6262,2017-01-03,601328.XSHG,5.75,5.81
6464,2017-01-03,601336.XSHG,43.78,45.01
6666,2017-01-03,601377.XSHG,7.65,7.76
6868,2017-01-03,601390.XSHG,8.84,8.93
7070,2017-01-03,601398.XSHG,4.4,4.43
7272,2017-01-03,601601.XSHG,27.63,28.02
7474,2017-01-03,601628.XSHG,24.19,25.25
7676,2017-01-03,601668.XSHG,8.83,8.87
7878,2017-01-03,601688.XSHG,17.92,18.19
8080,2017-01-03,601766.XSHG,9.75,9.84
8282,2017-01-03,601788.XSHG,15.99,16.17
8484,2017-01-03,601800.XSHG,15.13,15.29
8686,2017-01-03,601818.XSHG,3.9,3.95
8888,2017-01-03,601857.XSHG,7.95,7.97
9090,2017-01-03,601901.XSHG,7.59,7.72
9292,2017-01-03,601985.XSHG,7.06,7.11
9494,2017-01-03,601988.XSHG,3.44,3.47
9696,2017-01-03,601989.XSHG,7.12,7.34
9898,2017-01-03,601998.XSHG,6.44,6.75
1,2017-01-04,600000.XSHG,16.29,16.33
203,2017-01-04,600016.XSHG,9.1,9.11
405,2017-01-04,600028.XSHG,5.48,5.57
607,2017-01-04,600029.XSHG,7.04,7.1
809,2017-01-04,600030.XSHG,16.18,16.22
1011,2017-01-04,600036.XSHG,17.9,18.02
1213,2017-01-04,600048.XSHG,9.17,9.21
1415,2017-01-04,600050.XSHG,7.4,7.43
1617,2017-01-04,600100.XSHG,13.96,14.03
1819,2017-01-04,600104.XSHG,23.97,24.29
2021,2017-01-04,600109.XSHG,13.28,13.39
2223,2017-01-04,600111.XSHG,12.42,12.54
2425,2017-01-04,600485.XSHG,0.0,14.6
2627,2017-01-04,600518.XSHG,17.85,17.83
2829,2017-01-04,600519.XSHG,334.62,351.91
3031,2017-01-04,600547.XSHG,36.81,36.91
3233,2017-01-04,600637.XSHG,23.28,23.42
3435,2017-01-04,600837.XSHG,15.72,15.79
3637,2017-01-04,600887.XSHG,17.71,17.9
3839,2017-01-04,600893.XSHG,33.6,33.63
4041,2017-01-04,600958.XSHG,15.62,15.61
4243,2017-01-04,600999.XSHG,16.51,16.65
4445,2017-01-04,601006.XSHG,7.24,7.29
4647,2017-01-04,601088.XSHG,16.17,16.3
4849,2017-01-04,601166.XSHG,16.24,16.32
5051,2017-01-04,601169.XSHG,9.86,9.87
5253,2017-01-04,601186.XSHG,12.05,12.21
5455,2017-01-04,601198.XSHG,20.2,20.24
5657,2017-01-04,601211.XSHG,18.72,18.79
5859,2017-01-04,601288.XSHG,3.12,3.12
6061,2017-01-04,601318.XSHG,35.69,35.65
6263,2017-01-04,601328.XSHG,5.8,5.82
6465,2017-01-04,601336.XSHG,44.99,45.07
6667,2017-01-04,601377.XSHG,7.76,7.82
6869,2017-01-04,601390.XSHG,8.99,9.18
7071,2017-01-04,601398.XSHG,4.42,4.43
7273,2017-01-04,601601.XSHG,28.02,28.18
7475,2017-01-04,601628.XSHG,25.0,25.32
7677,2017-01-04,601668.XSHG,8.84,8.97
7879,2017-01-04,601688.XSHG,18.19,18.44
8081,2017-01-04,601766.XSHG,9.85,9.94
8283,2017-01-04,601788.XSHG,16.15,16.18
8485,2017-01-04,601800.XSHG,15.24,15.45
8687,2017-01-04,601818.XSHG,3.94,3.96
8889,2017-01-04,601857.XSHG,7.96,8.0
9091,2017-01-04,601901.XSHG,7.71,7.75
9293,2017-01-04,601985.XSHG,7.11,7.12
9495,2017-01-04,601988.XSHG,3.46,3.47
9697,2017-01-04,601989.XSHG,7.3,7.37
9899,2017-01-04,601998.XSHG,6.75,6.75
2,2017-01-05,600000.XSHG,16.3,16.3
204,2017-01-05,600016.XSHG,9.11,9.08
406,2017-01-05,600028.XSHG,5.55,5.75
608,2017-01-05,600029.XSHG,7.16,7.16
810,2017-01-05,600030.XSHG,16.24,16.15
1012,2017-01-05,600036.XSHG,18.05,18.1
1214,2017-01-05,600048.XSHG,9.22,9.19
1416,2017-01-05,600050.XSHG,7.39,7.84
1618,2017-01-05,600100.XSHG,14.03,13.95
1820,2017-01-05,600104.XSHG,24.38,24.05
2022,2017-01-05,600109.XSHG,13.37,13.37
2224,2017-01-05,600111.XSHG,12.57,12.51
2426,2017-01-05,600485.XSHG,0.0,14.6
2628,2017-01-05,600518.XSHG,17.83,17.65
2830,2017-01-05,600519.XSHG,350.0,346.74
3032,2017-01-05,600547.XSHG,37.3,37.62
3234,2017-01-05,600637.XSHG,23.44,23.33
3436,2017-01-05,600837.XSHG,15.85,15.66
3638,2017-01-05,600887.XSHG,17.9,17.88
3840,2017-01-05,600893.XSHG,33.63,33.98
4042,2017-01-05,600958.XSHG,15.62,15.45
4244,2017-01-05,600999.XSHG,16.68,16.61
4446,2017-01-05,601006.XSHG,7.27,7.5
4648,2017-01-05,601088.XSHG,16.36,16.31
4850,2017-01-05,601166.XSHG,16.32,16.33
5052,2017-01-05,601169.XSHG,9.9,9.88
5254,2017-01-05,601186.XSHG,12.13,12.14
5456,2017-01-05,601198.XSHG,20.23,20.09
5658,2017-01-05,601211.XSHG,18.76,18.68
5860,2017-01-05,601288.XSHG,3.13,3.13
6062,2017-01-05,601318.XSHG,35.73,35.73
6264,2017-01-05,601328.XSHG,5.82,5.8
6466,2017-01-05,601336.XSHG,45.34,44.9
6668,2017-01-05,601377.XSHG,7.8,7.78
6870,2017-01-05,601390.XSHG,9.14,9.19
7072,2017-01-05,601398.XSHG,4.43,4.44
7274,2017-01-05,601601.XSHG,28.18,28.34
7476,2017-01-05,601628.XSHG,25.27,25.38
7678,2017-01-05,601668.XSHG,8.95,8.93
7880,2017-01-05,601688.XSHG,18.41,18.35
8082,2017-01-05,601766.XSHG,9.94,9.9
8284,2017-01-05,601788.XSHG,16.18,16.11
8486,2017-01-05,601800.XSHG,15.4,15.42
8688,2017-01-05,601818.XSHG,3.96,3.94
8890,2017-01-05,601857.XSHG,7.99,8.16
9092,2017-01-05,601901.XSHG,7.74,7.71
9294,2017-01-05,601985.XSHG,7.11,7.07
9496,2017-01-05,601988.XSHG,3.48,3.46
9698,2017-01-05,601989.XSHG,7.34,7.48
9900,2017-01-05,601998.XSHG,6.75,6.79
3,2017-01-06,600000.XSHG,16.3,16.18
205,2017-01-06,600016.XSHG,9.08,9.01
407,2017-01-06,600028.XSHG,5.78,5.87
609,2017-01-06,600029.XSHG,7.16,7.15
811,2017-01-06,600030.XSHG,16.17,16.01
1013,2017-01-06,600036.XSHG,18.1,17.96
1215,2017-01-06,600048.XSHG,9.19,9.16
1417,2017-01-06,600050.XSHG,7.75,7.68
1619,2017-01-06,600100.XSHG,13.98,13.84
1821,2017-01-06,600104.XSHG,24.04,23.91
2023,2017-01-06,600109.XSHG,13.36,13.18
2225,2017-01-06,600111.XSHG,12.54,12.44
2427,2017-01-06,600485.XSHG,0.0,14.6
2629,2017-01-06,600518.XSHG,17.66,17.39
2831,2017-01-06,600519.XSHG,346.64,350.76
3033,2017-01-06,600547.XSHG,37.87,37.29
3235,2017-01-06,600637.XSHG,23.35,23.07
3437,2017-01-06,600837.XSHG,15.7,15.39
3639,2017-01-06,600887.XSHG,17.95,17.65
3841,2017-01-06,600893.XSHG,34.12,33.83
4043,2017-01-06,600958.XSHG,15.45,15.27
4245,2017-01-06,600999.XSHG,16.63,16.49
4447,2017-01-06,601006.XSHG,7.46,7.47
4649,2017-01-06,601088.XSHG,16.35,16.39
4851,2017-01-06,601166.XSHG,16.3,16.17
5053,2017-01-06,601169.XSHG,9.89,9.83
5255,2017-01-06,601186.XSHG,12.14,12.07
5457,2017-01-06,601198.XSHG,20.07,19.68
5659,2017-01-06,601211.XSHG,18.65,18.52
5861,2017-01-06,601288.XSHG,3.13,3.13
6063,2017-01-06,601318.XSHG,35.73,35.44
6265,2017-01-06,601328.XSHG,5.8,5.78
6467,2017-01-06,601336.XSHG,44.81,44.24
6669,2017-01-06,601377.XSHG,7.79,7.73
6871,2017-01-06,601390.XSHG,9.17,9.09
7073,2017-01-06,601398.XSHG,4.44,4.44
7275,2017-01-06,601601.XSHG,28.39,27.94
7477,2017-01-06,601628.XSHG,25.29,25.18
7679,2017-01-06,601668.XSHG,8.95,8.88
7881,2017-01-06,601688.XSHG,18.37,18.15
8083,2017-01-06,601766.XSHG,9.91,9.94
8285,2017-01-06,601788.XSHG,16.15,15.88
8487,2017-01-06,601800.XSHG,15.43,15.61
8689,2017-01-06,601818.XSHG,3.95,3.92
8891,2017-01-06,601857.XSHG,8.17,8.36
9093,2017-01-06,601901.XSHG,7.71,7.61
9295,2017-01-06,601985.XSHG,7.05,7.05
9497,2017-01-06,601988.XSHG,3.46,3.44
9699,2017-01-06,601989.XSHG,7.47,7.44
9901,2017-01-06,601998.XSHG,6.75,6.79
4,2017-01-09,600000.XSHG,16.24,16.2
206,2017-01-09,600016.XSHG,9.0,9.02
408,2017-01-09,600028.XSHG,5.87,5.86
610,2017-01-09,600029.XSHG,7.13,7.18
812,2017-01-09,600030.XSHG,16.01,16.07
1014,2017-01-09,600036.XSHG,18.05,17.94
1216,2017-01-09,600048.XSHG,9.15,9.18
1418,2017-01-09,600050.XSHG,7.66,7.71
1620,2017-01-09,600100.XSHG,13.85,13.95
1822,2017-01-09,600104.XSHG,23.93,24.16
2024,2017-01-09,600109.XSHG,13.14,13.2
2226,2017-01-09,600111.XSHG,12.44,12.46
2428,2017-01-09,600485.XSHG,0.0,14.6
2630,2017-01-09,600518.XSHG,17.38,17.37
2832,2017-01-09,600519.XSHG,347.8,348.51
3034,2017-01-09,600547.XSHG,37.17,36.78
3236,2017-01-09,600637.XSHG,23.06,23.18
3438,2017-01-09,600837.XSHG,15.41,15.6
3640,2017-01-09,600887.XSHG,17.59,17.67
3842,2017-01-09,600893.XSHG,33.9,34.87
4044,2017-01-09,600958.XSHG,15.21,15.26
4246,2017-01-09,600999.XSHG,16.47,16.47
4448,2017-01-09,601006.XSHG,7.44,7.49
4650,2017-01-09,601088.XSHG,16.35,16.5
4852,2017-01-09,601166.XSHG,16.19,16.24
5054,2017-01-09,601169.XSHG,9.89,9.86
5256,2017-01-09,601186.XSHG,12.08,12.1
5458,2017-01-09,601198.XSHG,19.68,19.7
5660,2017-01-09,601211.XSHG,18.52,18.66
5862,2017-01-09,601288.XSHG,3.13,3.13
6064,2017-01-09,601318.XSHG,35.47,35.42
6266,2017-01-09,601328.XSHG,5.79,5.79
6468,2017-01-09,601336.XSHG,44.5,44.7
6670,2017-01-09,601377.XSHG,7.7,7.76
6872,2017-01-09,601390.XSHG,9.07,9.12
7074,2017-01-09,601398.XSHG,4.45,4.46
7276,2017-01-09,601601.XSHG,28.08,28.35
7478,2017-01-09,601628.XSHG,25.05,25.58
7680,2017-01-09,601668.XSHG,8.88,8.95
7882,2017-01-09,601688.XSHG,18.13,18.15
8084,2017-01-09,601766.XSHG,9.92,10.14
8286,2017-01-09,601788.XSHG,15.89,15.92
8488,2017-01-09,601800.XSHG,15.41,15.75
8690,2017-01-09,601818.XSHG,3.91,3.92
8892,2017-01-09,601857.XSHG,8.3,8.37
9094,2017-01-09,601901.XSHG,7.6,7.64
9296,2017-01-09,601985.XSHG,7.04,7.21
9498,2017-01-09,601988.XSHG,3.43,3.44
9700,2017-01-09,601989.XSHG,7.43,7.76
9902,2017-01-09,601998.XSHG,6.75,6.84
5,2017-01-10,600000.XSHG,16.18,16.19
207,2017-01-10,600016.XSHG,9.01,9.03
409,2017-01-10,600028.XSHG,5.8,5.9
611,2017-01-10,600029.XSHG,7.15,7.71
813,2017-01-10,600030.XSHG,16.03,16.11
1015,2017-01-10,600036.XSHG,17.95,17.94
1217,2017-01-10,600048.XSHG,9.17,9.2
1419,2017-01-10,600050.XSHG,7.67,7.54
1621,2017-01-10,600100.XSHG,13.95,13.91
1823,2017-01-10,600104.XSHG,24.15,24.01
2025,2017-01-10,600109.XSHG,13.22,13.14
2227,2017-01-10,600111.XSHG,12.45,12.5
2429,2017-01-10,600485.XSHG,0.0,14.6
2631,2017-01-10,600518.XSHG,17.35,17.3
2833,2017-01-10,600519.XSHG,348.45,349.0
3035,2017-01-10,600547.XSHG,37.15,37.43
3237,2017-01-10,600637.XSHG,23.12,23.2
3439,2017-01-10,600837.XSHG,15.55,15.81
3641,2017-01-10,600887.XSHG,17.74,17.83
3843,2017-01-10,600893.XSHG,34.86,34.33
4045,2017-01-10,600958.XSHG,15.28,15.24
4247,2017-01-10,600999.XSHG,16.47,16.49
4449,2017-01-10,601006.XSHG,7.46,7.37
4651,2017-01-10,601088.XSHG,16.4,16.64
4853,2017-01-10,601166.XSHG,16.24,16.22
5055,2017-01-10,601169.XSHG,9.84,9.86
5257,2017-01-10,601186.XSHG,12.08,11.86
5459,2017-01-10,601198.XSHG,19.7,19.53
5661,2017-01-10,601211.XSHG,18.63,18.64
5863,2017-01-10,601288.XSHG,3.12,3.13
6065,2017-01-10,601318.XSHG,35.44,35.23
6267,2017-01-10,601328.XSHG,5.79,5.79
6469,2017-01-10,601336.XSHG,44.67,44.38
6671,2017-01-10,601377.XSHG,7.75,7.74
6873,2017-01-10,601390.XSHG,9.1,8.91
7075,2017-01-10,601398.XSHG,4.45,4.46
7277,2017-01-10,601601.XSHG,28.34,28.04
7479,2017-01-10,601628.XSHG,25.5,25.02
7681,2017-01-10,601668.XSHG,8.94,8.88
7883,2017-01-10,601688.XSHG,18.23,18.04
8085,2017-01-10,601766.XSHG,10.12,10.06
8287,2017-01-10,601788.XSHG,15.93,15.88
8489,2017-01-10,601800.XSHG,15.68,15.31
8691,2017-01-10,601818.XSHG,3.92,3.91
8893,2017-01-10,601857.XSHG,8.35,8.4
